1;39346861007840;111197002;1
2;00063960004864;202055;1
3;00063960004864;455820;1
4;39346861007840;119530902;1
5;00063960004864;643778;1
6;39346861007840;145850702;1
7;39346861007840;113815802;1
9;39346861007840;119492802;1
29;13408943000108;1;1
17;39346861007840;119652702;1
17;39346861007840;113914202;1
17;00063960004864;377023;1
17;00063960004864;780781;1
18;26317428000237;22604;1
19;15507356000193;1572;1
21;26269014000107;399;1
25;39346861007840;111186002;1
26;39346861007840;119446302;1
27;39346861007840;111146300;1
28;39346861007840;111146700;1
29;13408943000108;12;1
33;00063960004864;419490;1
34;13877824000277;900651;1
36;39346861007840;111200102;1
37;39346861007840;111186402;1
38;13877824000277;900638;1
38;00063960004864;799603;1
41;39346861007840;147482702;1
42;39346861007840;111758902;1
43;39346861007840;111185102;1
44;33224100000150;31;1
44;39346861007840;111188802;1
58;39346861007840;122651602;1
56;39346861007840;119689402;1
61;13408943000108;92;1
62;13408943000108;99997;1
63;39346861007840;119641002;1
63;26269014000107;376;1
29;13408943000108;605;1
68;00063960004864;980013855;1
75;33224100000150;477;1
76;13408943000108;385;1
77;10820277000114;8075;1
77;10820277000114;8074;1
79;26269014000107;436;1
80;10820277000114;4004;1
82;00063960004864;980010212;1
83;10820277000114;4023;1
87;10820277000114;5055;1
89;10820277000114;8481;1
91;10820277000114;8029;1
79;3709039000170;901456;1
71;3709039000170;902304;1
92;3709039000170;902493;1
89;10820277000114;8405;1
91;10820277000114;8002;1
93;10820277000114;8923;1
89;15507356000193;1244;1
79;15507356000193;5;1
95;15507356000193;6;1
79;13237300000211;1;1
97;26317428000237;22004;1
90;15507356000193;37;1
98;10820277000114;2057;1
95;15507356000193;1253;1
99;10820277000114;8052;1
106;7069951000166;3003;1
62;7069951000166;59014;1
112;1855960000104;1;1
113;34274233001508;141414;1
116;61412110043474;525634;1
118;15182009000138;5181;1
120;00063960004864;980004008;1
132;15182009000138;2210;1
136;39346861007840;161590400;1
61;7069951000166;40002;1
138;15507356000193;105928;1
139;41987967000943;22089;1
143;61412110043474;685674;1
79;39346861007840;119581902;1
