02012020;148;1
02013000;149;1
02031900;150;1
02071300;151;1
02071400;152;1
02101900;153;1
04011010;10;1
04012010;11;1
04015021;12;1
04015029;12;1
04022110;13;1
04029900;14;1
04031000;15;1
04051000;16;1
04061010;17;1
04061090;18;1
04064000;19;1
04069010;20;1
04069020;21;1
04069030;22;1
04071100;23;1
04072100;23;1
07020000;24;1
07031019;25;1
07032090;26;1
07039090;27;1
07061000;147;1
07099990;28;1
07102900;29;1
07133399;30;1
07133590;31;1
07133590;32;1
07133990;32;1
08011100;33;1
08012200;34;1
08013200;35;1
08031000;36;1
08039000;37;1
08043000;38;1
08044000;39;1
08051000;40;1
08052100;41;1
08055000;42;1
08059000;43;1
08081000;44;1
08132010;45;1
09012100;46;1
10059010;47;1
10061091;48;1
10062010;49;1
10063011;49;1
10063019;49;1
11029000;50;1
11041900;51;1
12024200;52;1
15079011;53;1
15091000;54;1
16010000;154;1
16023230;60;1
16023290;155;1
16024100;63;1
16024900;156;1
16052900;157;1
17019900;65;1
17049010;66;1
18063210;67;1
18069000;158;1
19012000;70;1
19021100;159;1
19021900;160;1
19022000;161;1
19023000;162;1
19030000;77;1
19041000;163;1
19052090;164;1
19053100;165;1
19053200;166;1
19059010;90;1
19059020;165;1
19059090;167;1
20058000;99;1
20089900;168;1
20096100;101;1
20096900;101;1
20098990;169;1
21031010;103;1
21032010;104;1
21069050;105;1
21069090;170;1
22021000;107;1
22030000;108;1
22072019;109;1
22086000;171;1
25010011;110;1
27101230;111;1
27101259;112;1
27101921;113;1
28289011;114;1
30039019;117;1
30039099;117;1
30042021;117;1
30043290;117;1
30045090;117;1
30049042;117;1
30049069;117;1
30049073;117;1
30066000;117;1
32081020;118;1
32089010;118;1
33061000;119;1
33079000;117;1
34011190;120;1
34013000;121;1
34022000;123;1
36050000;126;1
38089419;128;1
38089429;128;1
38099190;172;1
38249989;109;1
40151900;131;1
44111490;132;1
48064000;133;1
48181000;134;1
48183000;173;1
48195000;61;1
48232099;137;1
63079010;174;1
64022000;139;1
68053090;140;1
73231000;141;1
82121020;142;1
96032100;143;1
96034010;144;1
96084000;175;1
96190000;145;1
